@info
{
    "table":{
        "name":"candset_minus_gold",
        "description":"",
        "idAttrib":{
            "name":"pairID",
            "type":"INTEGER"
        },
        "projectName":"video_games",
        "attributes":[
            {
                "name":"pairID",
                "type":"INTEGER"
            },
            {
                "name":"theGamesDbId",
                "type":"INTEGER"
            },
            {
                "name":"MobyGamesId",
                "type":"INTEGER"
            },
            {
                "name":"theGamesDbName",
                "type":"TEXT"
            },
            {
                "name":"MobyGamesName",
                "type":"TEXT"
            },
            {
                "name":"theGamesDbDate",
                "type":"TEXT"
            },
            {
                "name":"MobyGamesDate",
                "type":"TEXT"
            }
        ]
    }
}

@data
pairID:INTEGER,theGamesDbId:INTEGER,MobyGamesId:INTEGER,theGamesDbName:TEXT,MobyGamesName:TEXT,theGamesDbDate:TEXT,MobyGamesDate:TEXT
74,426,593,b'Fast & Furious: Showdown',b'DiRT: Showdown',05/21/2013,06/12/2012
76,443,1394,b'Final Fantasy XI Online',b'Lightning Returns: Final Fantasy XIII - Dark Samurai',04/18/2006,01/28/2014
77,1875,3670,b'Guitar Hero: World Tour',b'Mafia II: War Hero Pack',10/26/2008,09/28/2010
78,1133,706,b'Star Trek: Legacy',b'Dreamworks Super Star Kartz',12/15/2006,11/15/2011
79,470,4557,b'Game of Thrones',b'Game of Thrones: Weapon Pack',05/12/2012,06/27/2012
80,1806,2394,b'Final Fantasy XIV: A Realm Reborn',b'Lightning Returns: Final Fantasy XIII - The Premium Collection',08/27/2013,11/26/2013
81,188,3143,b'Call of Juarez',"b""Call of Duty: World at War (Limited Collector's Edition)""",06/05/2007,11/11/2008
82,1710,4329,b'Dragon Ball Z Budokai HD Collection',"b""Skylanders: Spyro's Adventure - Wrecking Ball / Stealth Elf / Sonic Boom""",11/06/2012,11/15/2011
83,275,2144,b'Dash of Destruction',b'Doritos: Dash of Destruction',12/17/2008,12/17/2008
84,1132,5134,b'Star Trek',b'Star Wars: The Force Unleashed - Jedi Temple Mission Pack',04/23/2013,12/04/2008
85,2506,1622,b'Singstar Made in Germany',b'SingStar Vol.2',11/06/2009,10/28/2008
86,641,1378,b'LEGO Star Wars III: The Clone Wars',b'LEGO Star Wars II: The Original Trilogy',03/22/2011,09/12/2006
87,1260,6567,"b""Tom Clancy's H.A.W.X""","b""Tom Clancy's H.A.W.X 2""",03/03/2009,09/02/2010
88,1678,746,b'Deus Ex: Human Revolution',b'Deus Ex',08/23/2011,05/16/2012
89,2220,5799,b'NHL 14',b'NCAA Football 14',,07/09/2013
90,1786,5443,b'Ferrari Challenge Trofeo Pirelli',b'Test Drive: Ferrari Racing Legends',08/26/2008,07/03/2012
91,110,390,b'Big League Sports',b'Blitz: The League',11/08/2011,11/13/2006
92,2376,1309,b'Resident Evil: The Umbrella Chronicles',b'Valkyria Chronicles',07/17/2012,11/04/2008
93,447,1472,b'Final Fight: Double Impact',b'Lightning Returns: Final Fantasy XIII - FFVII Aerith',04/14/2010,12/17/2013
94,1004,4656,b'Rock Revolution',b'The Beatles: Rock Band',10/14/2008,09/09/2009
95,917,5302,b'Pro Evolution Soccer 2007',b'PES 2011: Pro Evolution Soccer',02/06/2007,10/19/2010
96,2174,2232,b'NBA 2K11',b'NBA 2K13',10/05/2010,10/02/2012
97,2761,1296,b'Under Defeat HD: Deluxe Edition',b'Under Defeat',,02/23/2012
98,2845,370,b'Agatha Christie: Evil Under the Sun',b'Agatha Christie Mysteries',12/07/2007,01/01/2009
99,3617,1127,b'The Legend of Zelda: Skyward Sword',b'The Legend of Zelda: A Link to the Past',11/20/2011,01/22/2007
100,2112,3991,b'MLB 07: The Show',b'MLB 08: The Show',05/15/2007,03/04/2008
101,284,3135,b'Dead or Alive 5 Ultimate',b'Call of Duty: MW3 - Content Pack 5',09/03/2013,05/15/2012
102,2469,1429,b'Sengoku Hime 3: Tenka o Kirisaku Hikari to Kage',b'Red Faction: Armageddon - Path to War',12/20/2012,08/02/2011
103,574,5561,"b""Jane's Advanced Strike Fighters""","b""The King of Fighters '98: Ultimate Match""",10/18/2011,07/01/2009
104,1181,2483,b'The Black Eyed Peas Experience',b'Call of Duty: Black Ops II - Kawaii MP Personalization Pack',11/15/2011,03/13/2013
105,970,1537,b'Red Faction: Guerrilla',"b""Command & Conquer: Red Alert 3 - Commander's Challenge""",06/02/2009,09/16/2009
106,1459,244,"b""Assassin's Creed: Brotherhood""","b""Assassin's Creed III: The Tyranny of King Washington - The Redemption""",11/16/2010,04/23/2013
107,1734,3786,b'Dynasty Warriors 7: Empires',b'Dynasty Warriors: Gundam',02/26/2013,08/28/2007
108,3380,6729,b'NHL 2K9',b'Major League Baseball 2K9',09/08/2008,03/03/2009
109,1854,5980,b'Grand Theft Auto V',b'Grand Theft Auto IV',09/17/2013,04/29/2008
110,1451,227,"b""Assassin's  Creed Double Pack""","b""Assassin's Creed Anthology""",03/30/2012,11/30/2012
111,2714,4067,"b""Tom Clancy's Rainbow 6: Patriots""","b""Tom Clancy's Splinter Cell""",,12/27/2011
112,3293,5252,b'Marvel Super Hero Squad: Comic Combat',b'Guitar Hero: World Tour',11/15/2011,10/26/2008
113,3650,23,b'Top Shot Arcade',b'Top Spin 4',03/07/2011,03/15/2011
114,1807,3235,b'Final Fight: Double Impact',b'Double Dragon Neon',04/15/2010,09/11/2012
115,2613,3954,b'Super Street Fighter IV',b'Super Street Fighter IV: Arcade Edition',04/27/2010,06/07/2011
116,117,6372,b'BioShock 2  Special Edition',b'Special Forces: Team X',02/09/2010,02/06/2013
117,907,2348,b'Port Royale 3: Pirates & Merchants',b'Port Royale 3: New Adventures',10/09/2012,05/31/2013
118,2053,182,"b""Mafia II: Director's Cut""","b""Resident Evil: Director's Cut""",07/05/2011,05/28/2009
119,788,5131,b'NASCAR: Unleashed',b'Star Wars: The Force Unleashed - Hoth Mission Pack',,02/23/2010
120,165,1653,"b""Cabela's African Safari""","b""Cabela's Big Game Hunter 2010""",11/21/2006,09/29/2009
121,2098,6623,b'Metal Gear Solid: The Legacy Collection',b'Metal Gear Solid 2: Substance',07/09/2013,08/21/2012
122,3288,797,b'Mario Power Tennis',b'Super Mario Galaxy 2',03/09/2009,05/23/2010
123,3244,2427,"b""Let's Dance with Mel B""",b'Just Dance',04/24/2012,11/17/2009
