@info
{
    "table":{
        "name":"aamzon_bn_candset_minus_gold",
        "description":"",
        "idAttrib":{
            "name":"pairID",
            "type":"INTEGER"
        },
        "projectName":"Books",
        "attributes":[
            {
                "name":"pairID",
                "type":"INTEGER"
            },
            {
                "name":"amazon.id",
                "type":"INTEGER"
            },
            {
                "name":"bn.id",
                "type":"INTEGER"
            }
        ]
    }
}

@data
pairID:INTEGER,amazon.id:INTEGER,bn.id:INTEGER
1061,4614,5752
1062,229,5912
1063,2587,5281
1064,2587,5305
1065,2587,5315
1066,4314,3016
1067,481,121
1068,481,3874
1069,481,4402
1070,481,4557
1071,481,5582
1072,481,5599
1073,1885,3440
1074,4746,1337
1075,4877,1806
1076,2873,1454
1077,1302,5030
1079,5058,1554
1080,4704,4973
1081,1396,1327
1082,678,5087
1083,1718,2239
1084,1718,4862
1085,1718,4867
1087,1718,4870
1088,2034,1481
1089,5103,824
1091,3436,3122
1092,125,4291
1093,3240,5585
1094,4133,5195
1095,4344,3888
1097,4344,3900
1098,121,3644
1099,1707,1463
1100,3379,1464
1101,680,5621
1102,680,5627
1103,145,4222
1104,2861,3290
1105,2861,3296
1107,2364,4357
1108,3828,2145
1110,4961,6017
1112,1170,1053
1113,2959,757
1114,219,1474
1115,219,1481
1116,2064,3097
1117,378,127
1118,378,129
1119,378,130
1120,168,1343
1122,606,70
1123,606,651
1124,606,652
1126,606,5632
1128,1733,824
1129,2869,2644
1130,1997,4297
1131,1997,4298
1132,1814,1163
1133,1374,5040
1134,533,3785
1135,763,5654
1137,1900,6354
1138,3554,1345
1139,3554,1388
1140,3554,1481
1143,4952,1602
1144,4952,1603
1145,4952,1605
1146,4952,1608
1147,4952,1610
1150,4952,3611
1151,4952,5163
1152,4952,5174
1153,4952,5448
1154,1972,1290
1155,1441,2724
1156,3925,1477
1157,1748,6353
1158,700,792
1159,844,4827
1160,3793,3732
1161,3793,3829
1163,3888,5007
1164,4830,2114
1166,2977,1413
1167,2565,792
1168,4573,4987
1169,1193,138
1171,204,3894
1172,204,3895
1173,431,2481
1174,4566,2546
1175,2308,4373
1178,4065,132
1179,4065,173
1180,4065,177
1181,1613,3559
1182,464,4618
1183,2803,1589
1184,2803,1592
1185,4845,2992
1186,4243,2773
1187,3302,4183
1188,4692,3676
1189,546,4590
1190,2097,2466
1191,1366,249
1192,3670,951
1193,3115,3755
1194,2119,753
1195,1540,6350
1196,633,2333
1197,793,5075
1198,1409,4293
1199,1559,2896
1200,2041,6331
1201,2041,6332
1202,1147,4355
1203,2059,1317
1205,3673,1776
1206,3673,1777
1208,3673,1781
1209,3611,4867
1210,3611,4868
1213,2127,845
1214,1196,4706
1215,387,6164
1217,5148,4367
1218,1788,6071
1220,4448,3570
1221,1023,4449
1222,2821,2488
1224,40,1957
1225,4225,4438
1226,1376,2936
1227,1620,5923
1228,509,30
1230,3886,3188
1231,3830,286
1232,5146,5171
1233,926,5444
1234,3930,1346
1235,3930,1348
1236,3076,3126
1237,3076,3854
1238,3076,3857
1239,3076,3859
1240,3076,3864
1241,3076,5000
1242,584,6219
1243,2602,5121
1244,3867,1097
1245,2305,652
1246,2305,4988
1247,2305,4993
1249,1804,2996
1250,3303,5359
1251,3799,3869
1252,3799,3876
1253,3799,3883
1255,3799,5005
1257,2047,4635
1258,2574,5284
1259,2574,5306
1260,2574,5313
1265,2106,1893
1266,1411,4572
1267,1991,3884
1268,1991,3898
1269,4632,270
1270,4632,4606
1271,2568,953
1272,2568,1621
1273,3118,55
1274,3118,6286
1275,755,4570
1276,1837,279
1279,1097,136
1280,3002,1305
1281,4766,2015
1282,4054,4515
1283,4053,6309
1284,2710,186
1286,5128,1353
1287,1181,2403
1288,3742,4797
1289,2060,267
1290,1861,6053
1291,2442,1215
1292,3132,671
1294,3132,3619
1296,4362,5655
1297,1901,5037
1298,3180,4373
1299,5037,3401
1300,451,4448
1302,3818,4674
1303,3374,1150
1305,3374,1683
1306,3374,1687
1307,3374,1690
1308,3374,1692
1309,3374,1693
1310,3374,1699
1311,3374,1706
1312,3374,1710
1313,3374,1711
1317,3374,1852
1318,3374,1857
1320,3374,1889
1321,3374,1894
1322,3374,2235
1323,3374,4052
1324,3374,4054
1327,3374,6185
1328,4144,5684
1329,639,1456
1332,4143,3945
1333,329,681
1334,4098,652
1335,4098,671
1336,4098,675
1337,4098,5038
1338,2142,2021
1339,781,5616
1340,260,6019
1341,5031,5412
1342,2952,3632
1343,3360,5284
1344,3360,5306
1345,3360,5313
1347,3360,5316
1348,4744,2046
1349,1779,1403
1350,2739,4623
1352,3494,393
1353,3168,345
1354,3255,1437
1355,3255,1438
1356,4489,5389
1357,2464,4395
1358,2464,4533
1359,2998,6285
1360,1594,4376
1361,136,1323
1362,644,2074
1363,3583,3126
1364,3583,3854
1365,3583,3857
1366,3583,3864
1368,3583,3908
1369,3583,3910
1370,3583,3912
1371,1058,3790
1373,5160,5284
1374,5160,5306
1375,5160,5313
1376,5160,5316
1377,3897,1498
1379,2441,4858
1380,1763,2143
1381,301,878
1382,2389,4600
1384,683,3774
1385,455,4572
1386,470,3476
1387,1031,4386
1388,786,516
1389,2643,3628
1391,4060,3135
1392,1144,2415
1394,4524,937
1395,3698,4850
1396,3110,3868
1397,3110,6367
1398,538,3312
1399,2989,3868
1400,2989,3869
1401,2989,3876
1402,2989,3883
1403,2989,5010
1404,4139,3812
1405,4139,3829
1407,2302,526
1408,2302,651
1409,2302,3897
1411,2302,4987
1413,2302,4992
1414,2302,5011
1415,4118,2004
1416,3612,5930
1420,4299,3660
1421,4299,3668
1422,2114,2336
1423,3721,1452
1424,32,3901
1425,283,1460
1426,1101,5633
1427,2255,745
1428,3701,3610
1429,2317,5198
1431,2957,5306
1432,2957,5313
1433,2957,5316
1434,4384,3134
1435,2677,3624
