@info
{
    "table":{
        "name":"pt_brand_candset",
        "description":"",
        "idAttrib":{
            "name":"pairId",
            "type":"INTEGER"
        },
        "projectName":"wgec_amazon_samsung",
        "attributes":[
            {
                "name":"pairId",
                "type":"INTEGER"
            },
            {
                "name":"samsung.id",
                "type":"TEXT"
            },
            {
                "name":"amazon.id",
                "type":"TEXT"
            },
            {
                "name":"samsung.Product_Type",
                "type":"TEXT"
            },
            {
                "name":"samsung.Product_Name",
                "type":"TEXT"
            },
            {
                "name":"samsung.Brand",
                "type":"TEXT"
            },
            {
                "name":"amazon.Product_Type",
                "type":"TEXT"
            },
            {
                "name":"amazon.Product_Name",
                "type":"TEXT"
            },
            {
                "name":"amazon.Brand",
                "type":"TEXT"
            }
        ]
    }
}

@data
pairId:INTEGER,samsung.id:TEXT,amazon.id:TEXT,samsung.Product_Type:TEXT,samsung.Product_Name:TEXT,samsung.Brand:TEXT,amazon.Product_Type:TEXT,amazon.Product_Name:TEXT,amazon.Brand:TEXT
34,145,1839,"[""default""]","[""Samsung SHAPE\u201aÑ¢ M7 (White) Wireless Audio Speaker""]","[""Samsung""]","[""default""]","[""\""Samsung Simple LED 27\""\"" Monitor with White w/ Blue TOC Finish\""""]","[""Samsung""]"
35,96,1839,"[""default""]","[""SSD 850 EVO 2.5\"" SATA III 1TB""]","[""Samsung""]","[""default""]","[""\""Samsung Simple LED 27\""\"" Monitor with White w/ Blue TOC Finish\""""]","[""Samsung""]"
36,121,1839,"[""default""]","[""SSD 850 PRO 2.5\"" SATA III 1TB""]","[""Samsung""]","[""default""]","[""\""Samsung Simple LED 27\""\"" Monitor with White w/ Blue TOC Finish\""""]","[""Samsung""]"
37,45,1839,"[""default""]","[""MX-HS9000 Giga System""]","[""Samsung""]","[""default""]","[""\""Samsung Simple LED 27\""\"" Monitor with White w/ Blue TOC Finish\""""]","[""Samsung""]"
38,44,1839,"[""default""]","[""Samsung SHAPE\u201aÑ¢ M7 (Black) Wireless Audio Speaker""]","[""Samsung""]","[""default""]","[""\""Samsung Simple LED 27\""\"" Monitor with White w/ Blue TOC Finish\""""]","[""Samsung""]"
39,92,1839,"[""default""]","[""Gear\u201aÑ¢ Live, Black""]","[""Samsung""]","[""default""]","[""\""Samsung Simple LED 27\""\"" Monitor with White w/ Blue TOC Finish\""""]","[""Samsung""]"
40,209,1839,"[""default""]","[""SSD 840 EVO 2.75mm mSATA 1TB""]","[""Samsung""]","[""default""]","[""\""Samsung Simple LED 27\""\"" Monitor with White w/ Blue TOC Finish\""""]","[""Samsung""]"
41,162,1839,"[""default""]","[""15\"" pedestal for washers or dryers - Stratus Gray""]","[""Samsung""]","[""default""]","[""\""Samsung Simple LED 27\""\"" Monitor with White w/ Blue TOC Finish\""""]","[""Samsung""]"
42,10,1839,"[""default""]","[""Samsung SHAPE\u201aÑ¢ M5 (Black) Wireless Audio Speaker""]","[""Samsung""]","[""default""]","[""\""Samsung Simple LED 27\""\"" Monitor with White w/ Blue TOC Finish\""""]","[""Samsung""]"
43,182,1839,"[""default""]","[""IA-BH130LB""]","[""Samsung""]","[""default""]","[""\""Samsung Simple LED 27\""\"" Monitor with White w/ Blue TOC Finish\""""]","[""Samsung""]"
44,30,1839,"[""default""]","[""Samsung SHAPE\u201aÑ¢ M3 (Black) Wireless Audio Speaker""]","[""Samsung""]","[""default""]","[""\""Samsung Simple LED 27\""\"" Monitor with White w/ Blue TOC Finish\""""]","[""Samsung""]"
45,51,1839,"[""default""]","[""Smart Media Player""]","[""Samsung""]","[""default""]","[""\""Samsung Simple LED 27\""\"" Monitor with White w/ Blue TOC Finish\""""]","[""Samsung""]"
46,54,1839,"[""default""]","[""Gear\u201aÑ¢ Live, Wine Red""]","[""Samsung""]","[""default""]","[""\""Samsung Simple LED 27\""\"" Monitor with White w/ Blue TOC Finish\""""]","[""Samsung""]"
47,140,1839,"[""default""]","[""Samsung SHAPE\u201aÑ¢ M5 (White) Wireless Audio Speaker""]","[""Samsung""]","[""default""]","[""\""Samsung Simple LED 27\""\"" Monitor with White w/ Blue TOC Finish\""""]","[""Samsung""]"
48,76,1839,"[""default""]","[""SSD 850 EVO M.2 500GB""]","[""Samsung""]","[""default""]","[""\""Samsung Simple LED 27\""\"" Monitor with White w/ Blue TOC Finish\""""]","[""Samsung""]"
49,149,1837,"[""Televisions""]","[""78.6\u201aÄù (diag) X900B Premium 4K Ultra HD TV""]","[""Sony""]","[""Televisions""]","[""\""Sony FDL-252T 2.5\""\"" Handheld Color TV\""""]","[""Sony""]"
50,48,552,"[""Blu Ray & DVD Players""]","[""Streaming Blu-ray Disc\u201aÑ¢ player with Super Wi-Fi ¬Æ""]","[""Sony""]","[""Blu Ray & DVD Players""]","[""Sony DVD/VCR Progressive Scan Combo Player SLV-D281P""]","[""Sony""]"
51,1,552,"[""Blu Ray & DVD Players""]","[""1080p Upscaling DVD Player""]","[""Sony""]","[""Blu Ray & DVD Players""]","[""Sony DVD/VCR Progressive Scan Combo Player SLV-D281P""]","[""Sony""]"
52,113,552,"[""Blu Ray & DVD Players""]","[""Wi-Fi ¬Æ Streaming Blu-ray Disc\u201aÑ¢ player with 4k upscaling""]","[""Sony""]","[""Blu Ray & DVD Players""]","[""Sony DVD/VCR Progressive Scan Combo Player SLV-D281P""]","[""Sony""]"
53,87,552,"[""Blu Ray & DVD Players""]","[""3D Streaming Blu-ray Disc\u201aÑ¢ player with TRILUMINOS technology""]","[""Sony""]","[""Blu Ray & DVD Players""]","[""Sony DVD/VCR Progressive Scan Combo Player SLV-D281P""]","[""Sony""]"
