@info
{
    "table":{
        "name":"tableA",
        "description":"",
        "idAttrib":{
            "name":"id",
            "type":"INTEGER"
        },
        "projectName":"breakfast",
        "attributes":[
            {
                "name":"id",
                "type":"INTEGER"
            },
            {
                "name":"brand",
                "type":"TEXT"
            },
            {
                "name":"description",
                "type":"TEXT"
            },
            {
                "name":"ingredients",
                "type":"TEXT"
            },
            {
                "name":"keywords",
                "type":"TEXT"
            },
            {
                "name":"price",
                "type":"FLOAT"
            },
            {
                "name":"size",
                "type":"TEXT"
            },
            {
                "name":"title",
                "type":"TEXT"
            },
            {
                "name":"weight",
                "type":"FLOAT"
            }
        ]
    }
}

@data
id:INTEGER,brand:TEXT,description:TEXT,ingredients:TEXT,keywords:TEXT,price:FLOAT,size:TEXT,title:TEXT,weight:FLOAT
21,Great Value,Our guarantee is our promise that you'll be fully satisfied with the taste and quality of every great value product If for any reason you aren't happy  we'll replace it or return your money,Whole Grain Rolled Oats  Sugar  Oat Flour (Whole)  Cinnamon  Natural And Artificial Flavors  Calcium Carbonate  (A Source of Calcium)  Salt  Guar Gum  Caramel Color  Ferric Phosphate (A Source of Iron)  Niacinamide*  Pyridoxine Hydrochloride (Vitamin B6)*  Riboflavin*  Vitamin A Palmitate  Thiamine Mononitrate*  Folic Acid*. *One of The B Vitamins. Allergy Warning: May Contain Traces of Milk  Almonds  Pecans  Walnuts  Wheat And Soy.,Great Value Cinnamon Roll Instant Oatmeal  10 count  15 oz  Breakfast & Cereal  Home Page  Walmart.com  Wal-Mart,-1.0,NA,Great Value Cinnamon Roll Instant Oatmeal  10 count  15 oz,-1.0
22,NATURES PATH,Gluten free & wheat free Per 30 g Serving: 8 g whole grain,NA,Natures Path Cereal 10oz Pack of 12  Breakfast & Cereal  Home Page  Walmart.com  Wal-Mart,76.23,15.0x10.3x1.0,Natures Path Cereal 10oz Pack of 12,8.0
23,Great Value,NA,Wheat Farina  Wheat Germ  Calcium Carbonate  Disodium Phosphate  Ferric Phosphate (Iron Source)  Niacin  Thiamin Mononitrate (Vitamin B1)  Riboflavin (Vitamin B2)  Folic Acid. Allergy Warning: Contains Wheat. May Contain Traces Of Milk  Almonds  Pecans  Walnuts And Soy.,Great Value Quick Farina Hot Cereal  28 oz  Breakfast & Cereal  Home Page  Walmart.com  Wal-Mart,-1.0,NA,Great Value Quick Farina Hot Cereal  28 oz,-1.0
24,Quaker Oatmeal,NA,Whole Grain Rolled Oats  Raisins  Sugar  Salt  Calcium Carbonate  Guar Gum  Spices  Niacinamide*  Reduced Iron  Vitamin A Palmitate  Pyridoxine Hydrochloride*  Riboflavin*  Thiamin Mononitrate*  Folic Acid*. *One of The B Vitamins.,Quaker Raisins & Spice Instant Oatmeal  1.51 oz  10 count  Breakfast & Cereal  Home Page  Walmart.com  Wal-Mart,-1.0,19.81x9.88x8.31,Quaker Raisins & Spice Instant Oatmeal  1.51 oz  10 count,13.9
25,Gluten Wize,Only 3 g fat! 100 calories! Dairy free ingredients Gluten free,NA,Gluten Wize Granola 12oz Pack of 8  Breakfast & Cereal  Home Page  Walmart.com  Wal-Mart,59.71,10.75x9.5x9.25,Gluten Wize Granola 12oz Pack of 8,10.96
26,Great Value,Fruity  sweetened puffed corn cereal  naturally & artificially   flavored inflado sabor frutal Cereal de maiz inflado endulzado sabor   frutal con saborizantes anturales y artificiales,Milled Corn (Whole Grain Corn Flour  Cornmeal)  Sugar  Corn Syrup  Modified Cornstarch  Salt  Color (Yellow 6  Red 40  Blue 1  Turmeric Oleoresin  Annatto Extract)  Natural And Artificial Flavor  Fructose  Tricalcium Phosphate  Trisodium Phosphate  Preservative (BHT  Citric Acid). Vitamins And Minerals: Calcium Carbonate  Vitamin C (Sodium Ascorbate)  Vitamin A (Palmitate)  Niacinamide  Iron (Reduced Iron)  Zinc (Zinc Oxide)  Vitamin B12 (Cyanocobalamin)  Vitamin D (Cholecalciferol)  Vitamin B2 (Riboflavin)  Vitamin B6 (Pyridoxine Hydrochloride)  Vitamin B1 (Thiamine Mononitrate)  Folic Acid. BHT Added To Packaging To Help Preserve Freshness.,Great Value: Fruity Puffs Cereal  14.8 Oz  Breakfast & Cereal  Home Page  Walmart.com  Wal-Mart,2.42,2.625x7.687x11.75,Great Value: Fruity Puffs Cereal  14.8 Oz,0.925
27,Quaker Oatmeal,NA,Whole Grain Rolled Oats  Dried Sweetened Cherries (Cherries  Sugar)  Multi Grain Blend (Whole Grain Rolled Oats  Rolled Barley  Whole Grain Rolled Rye)  Brown Sugar  Pistachios  Almonds  Nonfat Dry Milk  Whole Grain Rolled Wheat  Natural Flavor  Salt. Contains Wheat  Almond  Pistachio And Milk Ingredients.,Quaker Real Medleys Cherry Pistachio Oatmeal  2.57 oz  Breakfast & Cereal  Home Page  Walmart.com  Wal-Mart,-1.0,NA,Quaker Real Medleys Cherry Pistachio Oatmeal  2.57 oz,-1.0
28,Quaker,NA,Whole Grain Rolled Oats  Multi Grain Blend (Whole Grain Rolled Oats  Rolled Barley  Whole Grain Rolled Rye)  Dried Sweetened Apples (Apples  Sugar)  Dried Sweetened Cranberries (Cranberries  Sugar)  Walnuts Coated With Rosemary Extract  Brown Sugar  Dehydrated Apples (Apples  Sugar  Fructose  Cinnamon  Malic Acid  Sodium Sulfite For Color Retention)  Whole Grain Rolled Wheat  Salt  Cinnamon  Natural Flavor. Contains Wheat And Walnut Ingredients.,Quaker Real Medleys Apple Walnut Oatmeal  2.64 oz  Breakfast & Cereal  Home Page  Walmart.com  Wal-Mart,-1.0,NA,Quaker Real Medleys Apple Walnut Oatmeal  2.64 oz,-1.0
29,Erewhon,100% whole grain cereal Attune Foods - what matters most is whats inside,NA,Erewhon Cereal 10oz Pack of 12  Breakfast & Cereal  Home Page  Walmart.com  Wal-Mart,71.48,15.5x15.0x11.0,Erewhon Cereal 10oz Pack of 12,8.0
30,Kellogg's Poptarts,NA,Enriched Flour (Wheat Flour  Niacinamide  Reduced Iron  Thiamin Monoitrate [Vitamin B1]  Riboflavin [Vitamin B2]  Folic Acid)  Corn Syrup  High Fructose Corn Syrup  Dextrose  Vegetable Oil (Soybean  Palm  Cottonseed And/Or Hydrogenated Cottonseed Oil+ With Tbhq And Citric Acid For Freshness)  Sugar  Cracker Meal  Contains Two Percent Or Less Of Wheat Starch  Salt  Dried Strawberries  Dried Apples  Dried Pears  Cornstarch  Leavening (Baking Soda  Sodium Acid Pyrophosphate  Monocalcium Phosphate)  Citric Acid  Milled Corn  Modified Wheat Starch  Gelatin  Caramel Color  Mono- And Diglycerides  Sodium Stearoyl Lactylate  Datem  Partially Hydrogenated Soybean And/Or Cottonseed Oil+  Modifeid Corn Starch  Xanthan Gum  Soy Lecithin  Color Added  Niacinamide  Reduced Iron  Red #40  Vitamin A Palmitate  Yellow #6  Pyridoxine Hydrochloride (Vitamin B6)  Riboflavin (Vitamin B2)  Thiamin Hydrochloride (Vitamin B1)  Folic Acid  Turmeric Color  Blue #1. +Less Than 0.5G Trans Fat Per Serving.,Kellogg s Frosted Strawberry Pop Tarts  16 ct,3.5,19.625x15.813x19.625,Kellogg's Pop-Tarts Frosted Strawberry Toaster Pastries  16 count  29.3 oz,2.2
