@info
{
    "table":{
        "name":"wv_candset",
        "description":"",
        "idAttrib":{
            "name":"pairID",
            "type":"INTEGER"
        },
        "projectName":"wgec_el_2",
        "attributes":[
            {
                "name":"pairID",
                "type":"INTEGER"
            },
            {
                "name":"walmart.id",
                "type":"TEXT"
            },
            {
                "name":"vendor.id",
                "type":"TEXT"
            }
        ]
    }
}

@data
pairID:INTEGER,walmart.id:TEXT,vendor.id:TEXT
312,12183217,12183217#eBags
313,12183381,12183381#eBags
314,12183408,12183408#eBags
315,8154362,8154362#ivgStores
316,8456493,8456493#ivgStores
317,12184519,12184519#eBags
318,9189611,9189611#ivgStores
319,872056,872056#ivgStores
320,12184905,12184905#eBags
321,908067,908067#ivgStores
322,1234896,1234896#ivgStores
323,1943064,1943064#ivgStores
324,12185125,12185125#eBags
325,3576509,3576509#ivgStores
326,12185430,12185430#eBags
327,12186000,12186000#eBags
328,12186012,12186012#eBags
329,12186261,12186261#eBags
330,12187136,12187136#eBags
331,7754409,7754409#ivgStores
332,8144080,8144080#ivgStores
333,12187667,12187667#eBags
334,12342279,12342279#eBags
335,34144986,34144986#Babyhaven
336,12342839,12342839#eBags
337,887743,887743#ivgStores
338,12342841,12342841#eBags
339,12348928,12348928#eBags
340,3576510,3576510#ivgStores
341,5700418,5700418#ivgStores
342,5799659,5799659#ivgStores
343,12380447,12380447#eBags
344,7754469,7754469#ivgStores
345,8111461,8111461#ivgStores
346,9893706,9893706#ivgStores
347,9907222,9907222#ivgStores
348,9917037,9917037#ivgStores
349,880457,880457#ivgStores
350,12427516,12427516#eBags
351,1943063,1943063#ivgStores
352,2685978,2685978#ivgStores
353,12427607,12427607#eBags
354,3202218,3202218#ivgStores
355,12427954,12427954#eBags
356,5723583,5723583#ivgStores
357,12548012,12548012#eBags
358,8251590,8251590#ivgStores
359,13050294,13050294#eBags
360,13059391,13059391#eBags
361,13219529,13219529#eBags
362,13219530,13219530#eBags
363,13219545,13219545#eBags
364,13219588,13219588#eBags
365,10056415,10056415#ivgStores
366,10298541,10298541#ivgStores
367,13246478,13246478#eBags
368,39505613,39505613#Babyhaven
369,10737654,10737654#ivgStores
370,13270224,13270224#eBags
371,13361158,13361158#eBags
372,13730082,13730082#eBags
373,13730094,13730094#eBags
374,10910197,10910197#ivgStores
375,10927967,10927967#ivgStores
376,10968234,10968234#ivgStores
377,10988747,10988747#ivgStores
378,14089726,14089726#eBags
379,14178325,14178325#eBags
380,14247825,14247825#eBags
381,14262061,14262061#eBags
382,11060837,11060837#ivgStores
383,14262368,14262368#eBags
384,11068308,11068308#ivgStores
385,14313262,14313262#eBags
386,11962150,11962150#ivgStores
387,11962401,11962401#ivgStores
388,11968843,11968843#ivgStores
389,14664903,14664903#eBags
390,12181105,12181105#ivgStores
391,14710289,14710289#eBags
392,14867709,14867709#eBags
393,14898776,14898776#eBags
394,14978721,14978721#eBags
395,14978735,14978735#eBags
396,15042326,15042326#eBags
397,12321963,12321963#ivgStores
398,15042363,15042363#eBags
399,15107469,15107469#eBags
400,15107732,15107732#eBags
401,15111418,15111418#eBags
402,15151636,15151636#eBags
403,15222291,15222291#eBags
404,15229581,15229581#eBags
405,13044603,13044603#ivgStores
406,13055907,13055907#ivgStores
407,13056049,13056049#ivgStores
408,13056402,13056402#ivgStores
409,13056440,13056440#ivgStores
410,13056457,13056457#ivgStores
411,15268308,15268308#eBags
412,13056513,13056513#ivgStores
413,13056549,13056549#ivgStores
414,13056565,13056565#ivgStores
415,13056608,13056608#ivgStores
416,13056888,13056888#ivgStores
417,13075230,13075230#ivgStores
418,13081373,13081373#ivgStores
419,15442709,15442709#eBags
420,13081430,13081430#ivgStores
421,13081544,13081544#ivgStores
422,15525064,15525064#eBags
423,15525108,15525108#eBags
424,13259156,13259156#ivgStores
425,15580562,15580562#eBags
426,15580607,15580607#eBags
427,15637120,15637120#eBags
428,39952364,39952364#Babyhaven
429,15705839,15705839#eBags
430,15743418,15743418#eBags
431,15751608,15751608#eBags
432,15751648,15751648#eBags
433,15779560,15779560#eBags
434,15779562,15779562#eBags
435,15842140,15842140#eBags
436,15992046,15992046#eBags
437,14262038,14262038#ivgStores
438,16225385,16225385#eBags
439,14300080,14300080#ivgStores
440,16225387,16225387#eBags
441,16332622,16332622#eBags
442,16453823,16453823#eBags
443,16489720,16489720#eBags
444,16539484,16539484#eBags
445,16539487,16539487#eBags
446,16541378,16541378#eBags
