@info
{
    "table":{
        "name":"candset",
        "description":"",
        "idAttrib":{
            "name":"pairID",
            "type":"INTEGER"
        },
        "projectName":"gec_el",
        "attributes":[
            {
                "name":"pairID",
                "type":"INTEGER"
            },
            {
                "name":"A.id",
                "type":"TEXT"
            },
            {
                "name":"B.id",
                "type":"TEXT"
            }
        ]
    }
}

@data
pairID:INTEGER,A.id:TEXT,B.id:TEXT
324,19519682,19519682#eBags
325,19519688,19519688#eBags
326,19519692,19519692#eBags
327,19519718,19519718#eBags
328,5607957,5607957#ivgStores
329,19530832,19530832#eBags
330,19581629,19581629#eBags
331,19581638,19581638#eBags
332,19581641,19581641#eBags
333,7755626,7755626#ivgStores
334,19581643,19581643#eBags
335,19581651,19581651#eBags
336,39810122,39810122#Babyhaven
337,19647530,19647530#eBags
338,19691395,19691395#eBags
339,9193942,9193942#ivgStores
340,9893707,9893707#ivgStores
341,9917035,9917035#ivgStores
342,19858304,19858304#eBags
343,10073781,10073781#eBags
344,2585648,2585648#ivgStores
345,10073789,10073789#eBags
346,10603587,10603587#eBags
347,3576499,3576499#ivgStores
348,10910121,10910121#eBags
349,10910125,10910125#eBags
350,10910318,10910318#eBags
351,11068341,11068341#eBags
352,11084243,11084243#eBags
353,11084244,11084244#eBags
354,11319367,11319367#eBags
355,11988053,11988053#eBags
356,11997506,11997506#eBags
357,11997516,11997516#eBags
358,12179391,12179391#eBags
359,12179498,12179498#eBags
360,12179544,12179544#eBags
361,29855546,29855546#Perf-Moto
362,12179941,12179941#eBags
363,12179987,12179987#eBags
364,12180055,12180055#eBags
365,12180274,12180274#eBags
366,8223016,8223016#ivgStores
367,8245799,8245799#ivgStores
368,12180393,12180393#eBags
369,8456518,8456518#ivgStores
370,12180752,12180752#eBags
371,12180862,12180862#eBags
372,9225257,9225257#ivgStores
373,870860,870860#ivgStores
374,872057,872057#ivgStores
375,1234884,1234884#ivgStores
376,2585629,2585629#ivgStores
377,12181754,12181754#eBags
378,3202219,3202219#ivgStores
379,12181756,12181756#eBags
380,12182001,12182001#eBags
381,5799657,5799657#ivgStores
382,12183203,12183203#eBags
383,12183217,12183217#eBags
384,12183381,12183381#eBags
385,12183408,12183408#eBags
386,8154362,8154362#ivgStores
387,8456493,8456493#ivgStores
388,12184519,12184519#eBags
389,9189611,9189611#ivgStores
390,872056,872056#ivgStores
391,12184905,12184905#eBags
392,908067,908067#ivgStores
393,1234896,1234896#ivgStores
394,1943064,1943064#ivgStores
395,2585630,2585630#ivgStores
396,12185125,12185125#eBags
397,3576509,3576509#ivgStores
398,12185430,12185430#eBags
399,12186000,12186000#eBags
400,12186012,12186012#eBags
401,12186178,12186178#eBags
402,12186261,12186261#eBags
403,12187136,12187136#eBags
404,7754409,7754409#ivgStores
405,8144080,8144080#ivgStores
406,12187667,12187667#eBags
407,12342279,12342279#eBags
408,9189671,9189671#ivgStores
409,34144986,34144986#Babyhaven
410,12342839,12342839#eBags
411,887743,887743#ivgStores
412,12342841,12342841#eBags
413,2585633,2585633#ivgStores
414,12348928,12348928#eBags
415,3576510,3576510#ivgStores
416,5700418,5700418#ivgStores
417,5799659,5799659#ivgStores
418,12380447,12380447#eBags
419,7754469,7754469#ivgStores
420,8111461,8111461#ivgStores
421,9893706,9893706#ivgStores
422,9907222,9907222#ivgStores
423,9917037,9917037#ivgStores
424,880457,880457#ivgStores
425,12427516,12427516#eBags
426,1943063,1943063#ivgStores
427,2685978,2685978#ivgStores
428,12427607,12427607#eBags
429,3202218,3202218#ivgStores
430,12427954,12427954#eBags
431,5723583,5723583#ivgStores
432,12548012,12548012#eBags
433,8251590,8251590#ivgStores
434,13050294,13050294#eBags
435,13059391,13059391#eBags
436,13219529,13219529#eBags
437,13219530,13219530#eBags
438,13219545,13219545#eBags
439,13219588,13219588#eBags
440,13219590,13219590#eBags
441,10056405,10056405#ivgStores
442,10056415,10056415#ivgStores
443,10298541,10298541#ivgStores
444,13246478,13246478#eBags
445,13246551,13246551#eBags
446,39505613,39505613#Babyhaven
447,10603580,10603580#ivgStores
448,10737654,10737654#ivgStores
449,13270224,13270224#eBags
450,13361158,13361158#eBags
451,13447865,13447865#eBags
452,13730082,13730082#eBags
453,13730094,13730094#eBags
454,10910197,10910197#ivgStores
455,10927967,10927967#ivgStores
456,10968234,10968234#ivgStores
457,10988747,10988747#ivgStores
458,14032251,14032251#eBags
459,10992507,10992507#ivgStores
460,14089726,14089726#eBags
461,14178325,14178325#eBags
462,14247825,14247825#eBags
463,14247831,14247831#eBags
464,14262061,14262061#eBags
465,11060837,11060837#ivgStores
466,14262368,14262368#eBags
467,11068308,11068308#ivgStores
468,14313262,14313262#eBags
469,11962150,11962150#ivgStores
470,11962401,11962401#ivgStores
471,11968843,11968843#ivgStores
472,14664903,14664903#eBags
473,12181105,12181105#ivgStores
474,14710289,14710289#eBags
475,14867709,14867709#eBags
476,14898776,14898776#eBags
477,14978721,14978721#eBags
478,14978735,14978735#eBags
479,15040773,15040773#eBags
480,15042326,15042326#eBags
481,15042327,15042327#eBags
482,12321963,12321963#ivgStores
483,15042363,15042363#eBags
484,15107469,15107469#eBags
485,15107732,15107732#eBags
486,15111418,15111418#eBags
487,15151636,15151636#eBags
488,15222291,15222291#eBags
489,15222302,15222302#eBags
490,15229581,15229581#eBags
491,13044603,13044603#ivgStores
492,13055907,13055907#ivgStores
493,13056049,13056049#ivgStores
494,13056402,13056402#ivgStores
495,13056415,13056415#ivgStores
496,13056435,13056435#ivgStores
497,13056440,13056440#ivgStores
498,13056457,13056457#ivgStores
499,15268308,15268308#eBags
500,13056513,13056513#ivgStores
501,13056549,13056549#ivgStores
502,13056558,13056558#ivgStores
503,13056565,13056565#ivgStores
504,13056605,13056605#ivgStores
505,13056608,13056608#ivgStores
506,13056888,13056888#ivgStores
507,13075230,13075230#ivgStores
508,13081373,13081373#ivgStores
509,15442709,15442709#eBags
510,13081430,13081430#ivgStores
511,13081544,13081544#ivgStores
512,15525064,15525064#eBags
513,15525108,15525108#eBags
514,15525120,15525120#eBags
515,15525130,15525130#eBags
516,13259156,13259156#ivgStores
517,15580562,15580562#eBags
518,15580607,15580607#eBags
519,15637072,15637072#eBags
520,15637120,15637120#eBags
521,39952364,39952364#Babyhaven
522,15705839,15705839#eBags
523,15743418,15743418#eBags
524,15751608,15751608#eBags
525,15751610,15751610#eBags
526,15751648,15751648#eBags
527,15751679,15751679#eBags
528,15779560,15779560#eBags
529,15779562,15779562#eBags
530,15842140,15842140#eBags
531,15992046,15992046#eBags
532,14262038,14262038#ivgStores
533,16225385,16225385#eBags
534,14300080,14300080#ivgStores
535,16225387,16225387#eBags
536,16225402,16225402#eBags
537,16332622,16332622#eBags
538,16453823,16453823#eBags
539,16489720,16489720#eBags
540,16539484,16539484#eBags
541,16539487,16539487#eBags
542,16541378,16541378#eBags
543,16561013,16561013#eBags
544,16561718,16561718#eBags
545,14590692,14590692#ivgStores
546,16561786,16561786#eBags
547,16561886,16561886#eBags
548,16561921,16561921#eBags
549,34074095,34074095#Babyhaven
550,16561930,16561930#eBags
551,16565536,16565536#eBags
552,16621120,16621120#eBags
553,29889954,29889954#Perf-Moto
554,16660110,16660110#eBags
555,16660759,16660759#eBags
556,16660772,16660772#eBags
557,16660778,16660778#eBags
558,16792047,16792047#eBags
559,16794808,16794808#eBags
560,16794823,16794823#eBags
561,39639515,39639515#Babyhaven
562,16873978,16873978#eBags
563,16874952,16874952#eBags
564,16874966,16874966#eBags
565,16927121,16927121#eBags
566,16927122,16927122#eBags
567,16927126,16927126#eBags
568,16927131,16927131#eBags
569,16933452,16933452#eBags
570,16944283,16944283#eBags
571,17032482,17032482#eBags
572,17129605,17129605#eBags
573,17129683,17129683#eBags
574,17133293,17133293#eBags
575,17134132,17134132#eBags
576,17134137,17134137#eBags
577,17134144,17134144#eBags
578,17134166,17134166#eBags
579,17211249,17211249#eBags
580,17277012,17277012#eBags
581,39505611,39505611#Babyhaven
582,17323887,17323887#eBags
583,17395941,17395941#eBags
584,17395975,17395975#eBags
585,14915802,14915802#ivgStores
586,17449846,17449846#eBags
587,14916415,14916415#ivgStores
588,14922530,14922530#ivgStores
589,17654766,17654766#eBags
590,17756892,17756892#eBags
591,17756998,17756998#eBags
592,14927489,14927489#ivgStores
593,17811940,17811940#eBags
594,14927495,14927495#ivgStores
595,17811959,17811959#eBags
596,14928628,14928628#ivgStores
597,14931223,14931223#ivgStores
598,14962346,14962346#ivgStores
599,15048429,15048429#ivgStores
600,15066078,15066078#ivgStores
601,15074420,15074420#ivgStores
602,19316103,19316103#eBags
603,15135097,15135097#ivgStores
604,19426181,19426181#eBags
605,15200080,15200080#ivgStores
606,19480533,19480533#eBags
607,29968971,29968971#Perf-Moto
608,19480535,19480535#eBags
609,19480536,19480536#eBags
610,19486615,19486615#eBags
611,19486715,19486715#eBags
612,19486743,19486743#eBags
613,15523649,15523649#ivgStores
614,19500441,19500441#eBags
615,19500501,19500501#eBags
616,19500515,19500515#eBags
617,19502573,19502573#eBags
618,15569954,15569954#ivgStores
619,19515824,19515824#eBags
620,19519663,19519663#eBags
621,19519674,19519674#eBags
622,19519690,19519690#eBags
623,19519701,19519701#eBags
624,19519746,19519746#eBags
625,19520014,19520014#eBags
626,19527807,19527807#eBags
627,19528118,19528118#eBags
628,19534653,19534653#eBags
629,19581623,19581623#eBags
630,19581626,19581626#eBags
631,19581655,19581655#eBags
632,19581679,19581679#eBags
633,19612975,19612975#eBags
634,19691396,19691396#eBags
635,19857112,19857112#eBags
636,15734463,15734463#ivgStores
637,10073780,10073780#eBags
638,10333409,10333409#eBags
639,10333828,10333828#eBags
640,10910106,10910106#eBags
641,11068339,11068339#eBags
642,11084239,11084239#eBags
643,11963014,11963014#eBags
644,11988051,11988051#eBags
645,15782862,15782862#ivgStores
646,12180882,12180882#eBags
647,12180946,12180946#eBags
648,12181618,12181618#eBags
649,12181790,12181790#eBags
650,12181964,12181964#eBags
651,12182004,12182004#eBags
652,12182159,12182159#eBags
653,12182308,12182308#eBags
654,12183187,12183187#eBags
655,12183227,12183227#eBags
656,12183687,12183687#eBags
657,12184399,12184399#eBags
658,12184524,12184524#eBags
659,16422760,16422760#ivgStores
660,12184678,12184678#eBags
661,12184899,12184899#eBags
662,12185429,12185429#eBags
663,12185456,12185456#eBags
664,12185577,12185577#eBags
665,12186064,12186064#eBags
666,12186117,12186117#eBags
667,12186264,12186264#eBags
669,12186517,12186517#eBags
670,12186543,12186543#eBags
671,12186586,12186586#eBags
672,12186744,12186744#eBags
673,12186908,12186908#eBags
674,12187139,12187139#eBags
675,12187452,12187452#eBags
676,16523654,16523654#ivgStores
677,12187862,12187862#eBags
678,16529184,16529184#ivgStores
679,12329965,12329965#eBags
680,12342991,12342991#eBags
681,12348930,12348930#eBags
682,12350801,12350801#eBags
683,16829813,16829813#ivgStores
684,16904407,16904407#ivgStores
685,12361438,12361438#eBags
686,12426058,12426058#eBags
687,12427660,12427660#eBags
688,12509674,12509674#eBags
689,12528319,12528319#eBags
690,17208278,17208278#ivgStores
691,17218998,17218998#ivgStores
692,17219007,17219007#ivgStores
693,17219026,17219026#ivgStores
694,12548023,12548023#eBags
695,12548336,12548336#eBags
696,42890771,42890771#Babyhaven
697,13059364,13059364#eBags
699,13219571,13219571#eBags
700,17354260,17354260#ivgStores
701,13246599,13246599#eBags
702,13246601,13246601#eBags
703,13246679,13246679#eBags
704,13246714,13246714#eBags
705,13252762,13252762#eBags
706,13361243,13361243#eBags
707,13376611,13376611#eBags
708,13447814,13447814#eBags
709,13730088,13730088#eBags
710,13730090,13730090#eBags
711,13730093,13730093#eBags
712,13730102,13730102#eBags
713,13730103,13730103#eBags
714,13730105,13730105#eBags
715,14005574,14005574#eBags
716,17395958,17395958#ivgStores
717,14032250,14032250#eBags
718,14089787,14089787#eBags
719,14313258,14313258#eBags
720,14313310,14313310#eBags
721,14562763,14562763#eBags
722,14562788,14562788#eBags
723,14574803,14574803#eBags
724,14574804,14574804#eBags
725,14664901,14664901#eBags
726,29984560,29984560#Perf-Moto
727,14712517,14712517#eBags
728,14898797,14898797#eBags
729,14967510,14967510#eBags
730,14972567,14972567#eBags
731,14972570,14972570#eBags
732,15040066,15040066#eBags
733,15040075,15040075#eBags
734,15040740,15040740#eBags
735,15040750,15040750#eBags
736,29985123,29985123#Perf-Moto
737,15042325,15042325#eBags
738,15048335,15048335#eBags
739,15081013,15081013#eBags
740,15229562,15229562#eBags
741,15406794,15406794#eBags
742,15435530,15435530#eBags
743,15525112,15525112#eBags
744,15525117,15525117#eBags
745,15525122,15525122#eBags
746,15525133,15525133#eBags
747,15637078,15637078#eBags
748,15676265,15676265#eBags
749,17480207,17480207#ivgStores
750,15706009,15706009#eBags
751,15706011,15706011#eBags
752,15720536,15720536#eBags
753,15738972,15738972#eBags
754,15751620,15751620#eBags
755,15751626,15751626#eBags
756,15751644,15751644#eBags
757,15751645,15751645#eBags
758,15751682,15751682#eBags
759,15751687,15751687#eBags
760,16480776,16480776#eBags
761,16489713,16489713#eBags
762,16489717,16489717#eBags
763,16531460,16531460#eBags
764,16531857,16531857#eBags
765,16561679,16561679#eBags
766,16561685,16561685#eBags
767,16561746,16561746#eBags
768,29988577,29988577#Perf-Moto
769,16561780,16561780#eBags
770,16561789,16561789#eBags
771,16561790,16561790#eBags
772,29988659,29988659#Perf-Moto
773,16561929,16561929#eBags
774,16565527,16565527#eBags
775,16565528,16565528#eBags
776,16596704,16596704#eBags
777,16621320,16621320#eBags
778,16641305,16641305#eBags
779,16641307,16641307#eBags
780,16641313,16641313#eBags
781,16660728,16660728#eBags
782,16660764,16660764#eBags
783,16660861,16660861#eBags
784,16662758,16662758#eBags
785,29989988,29989988#Perf-Moto
786,16679657,16679657#eBags
787,16792061,16792061#eBags
788,16794803,16794803#eBags
789,16794805,16794805#eBags
790,16794822,16794822#eBags
791,16794858,16794858#eBags
792,16945379,16945379#eBags
793,16946435,16946435#eBags
794,17129657,17129657#eBags
795,17133395,17133395#eBags
796,17134146,17134146#eBags
